asin,title,rank,price,rating_volume,offers,offers_bool,rating,Brand,Color,Connectivity Technology,Special Feature,Movement Detection Technology,Number of Buttons,Recommended Uses For Product,Material,Hand Orientation,Tech Brand,Series,Item model number,Hardware Platform,Operating System,Item Weight,Product Dimensions,Item Dimensions,Color,Power Source,Manufacturer,Department,Batteries,ASIN,Is Discontinued By Manufacturer,Customer Reviews,Rating,Best Sellers Rank,Country of Origin,Average Battery Life (in hours),OS,Connectivity technologies,Special features,Other display features,Whats in the box,Standing screen display size,Language,Package Dimensions,Voltage,Wireless Type,Number of Processors
B07HC4NBQ8,"Redragon M908 Impact RGB LED MMO Gaming Mouse with 12 Side Buttons, Optical Wired Ergonomic Gamer Mouse with Max 12,400DPI, High Precision, 20 Programmable Macro Shortcuts, Comfort Grip",11,22.89,12277,0,FALSE,4.5,Redragon,Black,USB,"Programmable Buttons, LED Lights",Optical,null,null,null,null,null,M908,null,null,6.2,5.12 x 3.94 x 1.57 inches,null,null,null,null,Redragon,B07HC4NBQ8,No,"12,230",4.5,"#315 in Video Games (See Top 100 in Video Games), #18 in PC Gaming Mice",China,null,null,null,null,null,null,null,null,null,null,null,null,,
B0B96PKNVL,"Redragon Gaming Mouse, Wired Gaming Mouse with RGB Backlit, 8000 DPI Adjustable, Mouse with 9 Programmable Macro Buttons & Fire Button, Software Supports DIY Keybinds, M910-K",12,15.99,15140,0,FALSE,4.5,Redragon,Black,USB,"Ergonomic design, RGB backlight, Adjustable DPI 8000, Fire Button, Programmable Gaming Mouse",Optical,null,null,null,null,null,M910-K,null,null,4.6,4.9 x 2.85 x 1.57 inches,null,null,null,null,Redraogon,B0B96PKNVL,null,"13,921",4.5,"#540 in Video Games (See Top 100 in Video Games), #32 in PC Gaming Mice, #1,028 in Climate Pledge Friendly",China,null,null,null,null,null,null,null,null,null,null,null,null,,
B00Z9V0NKC,"BENGOO Gaming Mouse Wired, Ergonomic Gamer Laptop PC USB Optical Computer Mice with RGB Backlit, 4 Adjustable DPI Up to 3600, 6 Programmable Buttons for Windows 7/8/10/XP Vista Linux -Black",13,11.99,11711,0,FALSE,4.6,BENGOO,black,USB,Programmable Buttons,Optical,null,null,null,null,null,M1,null,null,4.2,5.8 x 1.8 x 4.5 inches,null,null,null,null,Bengoo Inc.,B00Z9V0NKC,No,"11,686",4.6,"#250 in Video Games (See Top 100 in Video Games), #1 in NES Accessories, #2 in Nintendo DS Accessories, #4 in Nintendo 3DS & 2DS Accessories",null,null,"Windows 7 Professional or Ultimate, Windows8, Windows XP",USB,Programmable Buttons,Wireless,1*BEN-BXO-17B Bengoo Gmaing Mouse,null,null,null,null,null,null,,
B08FQMBKQG,Razer DeathAdder V2 Pro Wireless Gaming Mouse: 20K DPI Optical Sensor - 3X Faster Than Mechanical Optical Switch - Chroma RGB Lighting - 70 Hr Battery Life - 8 Programmable Buttons - Classic Black,14,68.04,7807,0,FALSE,4.6,Razer,Classic Black,HDMI,"Wireless, Lightweight, Ergonomic Design",Optical,null,null,null,null,DeathAdder V2 Pro,RZ01-03350100-R3U1,"PC, Mac",Windows 11,4.3,2.86 x 1.68 x 5 inches,LxWxH 2.86 x 1.68 x 5 inches,Battery Powered,1 Lithium Polymer batteries required. (included),mouse,Razer,B08FQMBKQG,No,null,null,null,China,120,null,null,null,null,null,7 Inches,null,null,null,null,null,,
B07XP4K152,"UtechSmart Venus Pro RGB Wireless MMO Gaming Mouse, 16,000 DPI Optical Sensor, 2.4 GHz Transmission Technology, Ergonomic Design, 16M Chroma RGB Lighting, 16 programmable Buttons, Up to 70 Hours",15,47.99,21876,0,FALSE,4.5,UtechSmart,classic black,USB Receiver,"Wireless MMO Gaming Mouse, 16,000 DPI Optical Sensor, 2.4 GHz Transmission Technology, Ergonomic Design, 16M Chroma RGB Lighting, 16 programmable Buttons, Up to 70 Hours Battery LifeWireless MMO Gaming Mouse, 16,000 DPI Optical Sensor, 2.4 GHz Transmission Technology, Ergonomic Design, 16M Chroma RGB Lighting, 1…",Optical,null,null,null,null,WIRELESS VENUSPRO GAMING MOUSE,DS-2833,PC/Mac,Windows 10,6,4.6 x 3 x 1.5 inches,LxWxH 4.6 x 3 x 1.5 inches,Battery Powered,1 Lithium Polymer batteries required. (included),null,UtechSmart Technology,B07XP4K152,No,null,null,null,China,70,null,null,null,null,null,null,null,null,null,null,null,,
B000UVRU6G,SteelSeries QcK Gaming Mouse Pad - Large Cloth - Optimized For Gaming Sensors,16,14.99,51781,0,FALSE,4.7,SteelSeries,Classic Black,null,Washable,null,null,Gaming,Rubber,null,null,63003,null,null,8,17.72 x 15.7 x 0.08 inches,null,null,null,mouse pad / trackpad,SteelSeries,B000UVRU6G,No,"51,725",4.7,"#334 in Video Games (See Top 100 in Video Games), #20 in PC Gaming Mice",Taiwan,null,null,null,null,null,null,null,English,null,null,null,null,,
B09QG1PTKH,"LODVIE Wireless Mouse, 2.4G Comfortable Wireless Computer Mouse for Laptop, 5 Adjustable 2400 DPI with 6 Buttons, 15 Months Battery Life Mouse for Laptop PC Mac Computer Chromebook MacBook - Black",17,8.79,5961,0,FALSE,4.5,LODVIE,Black,USB,"Wireless, Portable, Lightweight, Ergonomic Design",Optical,null,null,null,null,null,D-09,null,null,2.89,4.09 x 2.76 x 1.69 inches,null,null,null,null,LODVIE,B09QG1PTKH,null,"5,909",4.5,"#492 in Video Games (See Top 100 in Video Games), #30 in PC Gaming Mice",null,null,null,null,null,null,null,null,English,null,null,null,null,,
B092CRH1RX,"Logitech G502 X Lightspeed Wireless Gaming Mouse - LIGHTFORCE hybrid optical-mechanical switches, HERO 25K gaming sensor, compatible with PC - macOS/Windows - Black",18,122.89,1281,0,FALSE,4.6,null,null,null,null,null,null,null,null,null,Wireless,910-006178,PC,Windows 10,3.59,6.9 x 4.6 x 2.8 inches,LxWxH 6.9 x 4.6 x 2.8 inches,null,1 Lithium Polymer batteries required. (included),null,Logitech,B092CRH1RX,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,
B07L4BM851,"Logitech G502 Lightspeed Wireless Gaming Mouse with Hero 25K Sensor, PowerPlay Compatible, Tunable Weights and Lightsync RGB - Black",19,107.5,11233,0,FALSE,4.7,Logitech G,Black,null,"Wireless, Programmable Buttons, Lightweight, Rechargeble",Optical,null,null,null,null,G502 Lightspeed Wireless Gaming Mouse,910-005565,PC,Mac OS,15.2,5.19 x 2.95 x 1.57 inches,LxWxH 5.19 x 2.95 x 1.57 inches,Battery Powered,1 Lithium Polymer batteries required. (included),null,Logitech,B07L4BM851,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,
B07GCKQD77,"Logitech G Pro Wireless Gaming Mouse with Esports Grade Performance, Black",20,87.89,13326,0,FALSE,4.7,Logitech G,Black,Wireless,Esports-Grade Performance,Optical,null,null,null,null,Pro Wireless Gaming Mouse,910-005270,Mac,"Chrome OS, Windows 7",2.88,1.57 x 2.5 x 4.92 inches,LxWxH 1.57 x 2.5 x 4.92 inches,Battery Powered,1 Lithium Polymer batteries required. (included),null,Logitech,B07GCKQD77,No,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,
B0BHMLWH3Z,"Logitech G240 Cloth Gaming Mouse Pad, Optimized for Gaming Sensors, Moderate Surface Friction, Non-Slip Mouse Mat, Mac and PC Gaming Accessories, 340 x 280 x 1 mm",21,21.18,1627,21.18,TRUE,4.7,Logitech G,Black,null,Non-slip,null,null,"Office, Gaming",Rubber,null,null,943-000783,null,null,4.8,13.39 x 11.02 x 1 inches,null,null,null,null,Logitech,B0BHMLWH3Z,null,"1,601",4.7,"#303 in Video Games (See Top 100 in Video Games), #16 in PC Gaming Mice, #142 in Climate Pledge Friendly",null,null,null,null,null,null,null,null,null,null,null,null,null,,
B088B3ZM76,"Redragon M913 Impact Elite Wireless Gaming Mouse, 16000 DPI Wired/Wireless RGB Gamer Mouse with 16 Programmable Buttons, 45 Hr Battery and Pro Optical Sensor, 12 Side Buttons MMO Mouse",22,31.95,12277,0,FALSE,4.5,Redragon,Black,"Bluetooth, USB","Wireless, Programmable Buttons",Optical,null,null,null,null,null,M913,null,null,4.7,6.89 x 4.53 x 1.97 inches,null,null,1 Lithium Polymer batteries required. (included),null,Redragon,B088B3ZM76,null,"12,230",4.5,"#534 in Video Games (See Top 100 in Video Games), #30 in PC Gaming Mice",China,null,null,null,null,null,null,null,null,null,null,null,null,,
B09JSH81HZ,"Trueque Wireless Mouse for Laptop, 2.4GHz Ergonomic Computer Mouse with Back & Forward Buttons, 3-Level DPI, 6 Buttons, Optical USB Cordless Mice for Windows Chromebook MacBook PC",23,13.99,3545,0,FALSE,4.5,Trueque,Gray,USB,"Wireless, Portable, Lightweight, Back & Forward Buttons, Ergonomic Design, 3 DPI levels (800/1200/1600)Wireless, Portable, Lightweight, Back & Forward Buttons, Ergonomic Design, 3 DPI levels (800/1200/1600)",Optical,null,null,null,null,null,null,null,null,3.2,4.1 x 2.4 x 1.6 inches,null,null,1 AA batteries required.,null,Trueque,B09JSH81HZ,null,"3,519",4.5,"#253 in Video Games (See Top 100 in Video Games), #13 in PC Gaming Mice",China,null,null,null,null,null,null,null,null,null,null,null,null,,
